[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 5:53:18 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setTheme
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setLocales
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setEditorType
[5/1/2024, 5:53:18 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:53:18 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setTheme
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 5:53:18 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 5:53:18 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:53:19 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 5:53:19 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setIsLibrary
[5/1/2024, 5:53:19 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setIsTeamTemplate
[5/1/2024, 5:53:19 PM]:[WARN] - [From web content: 15],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 6:01:33 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 6:09:26 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 6:28:01 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 6:35:34 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 5:59:05 AM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/2/2024, 5:59:05 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTheme
[5/2/2024, 6:01:47 AM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/2/2024, 6:01:47 AM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTheme
[5/2/2024, 6:10:04 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 6:17:49 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 6:28:26 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 6:42:20 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 6:50:30 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 6:59:42 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/2/2024, 7:08:18 AM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
